startTime,span,avg,k,stdTime,stdTemperature,label
2019-11-06 04:45:07,1,801.5000000000291,-21.00000000003574,30,815,0
2019-11-12 02:20:07,1,803.5,-23.000000000025995,30,815,0
2019-11-04 22:12:07,1,802.4999999999782,-23.00000000000138,30,815,0
2019-11-06 04:51:07,1,797.0000000000146,19.9999999999843,30,815,0
2019-11-13 14:21:07,1,796.5,-20.999999999963855,30,815,0
2019-11-17 16:54:07,1,790.4999999998254,19.000000000040647,30,815,0
2019-11-17 01:58:07,1,794.0,-41.99999999998502,30,815,0
2019-11-17 02:45:07,1,765.4999999998254,-14.999999999962943,30,815,0
2019-11-17 05:35:07,27,713.0000000000002,2.640946186151776e-15,30,815,0
2019-11-17 06:03:07,30,706.1935483870965,-0.03024193548387276,30,815,0
2019-11-17 06:02:07,1,710.0000000000146,-6.000000000007198,30,815,0
